Name,sleeper_id,Pos,Team,exp,bd,age,espn_id,clean_name,Bye,ESPN,ECR,ADP,Yahoo,Sleeper,Rank
Mathew Sexton,7619,WR,FA,3,1997-10-17,27.9,NA,NA,,999,999,999,999,999.0,1000
Jamie Newman,7555,QB,FA,1,1997-12-01,27.8,NA,NA,,999,999,999,999,999.0,1001
Davis Mills,7585,QB,HOU,4,1998-10-21,26.9,4242546,davis mills,6,999,999,999,999,999.0,1002
Caleb Chapman,12399,WR,FA,1,,,NA,NA,,999,999,999,999,999.0,1003
Shane Wynn,2603,WR,FA,7,1992-11-15,32.8,NA,NA,,999,999,999,999,999.0,1004
Adam Prentice,8025,FB,DEN,4,1997-01-16,28.6,3929914,adam prentice,12,999,999,999,999,999.0,1005
Josh Ali,8931,WR,FA,2,1999-03-03,26.5,4259976,josh ali,,999,999,999,999,999.0,1006
Tevin Reese,2052,WR,FA,1,1991-01-02,34.7,NA,NA,,999,999,999,999,999.0,1007
Stephon Robinson,8633,WR,FA,1,,,NA,NA,,999,999,999,999,999.0,1008
Ameer Abdullah,2359,RB,FA,10,1993-06-13,32.2,2576336,ameer abdullah,,999,999,999,999,999.0,1009
Brittan Golden,1743,WR,FA,8,1988-07-20,37.1,NA,NA,,999,999,999,999,999.0,1010
Matt Forte,103,RB,FA,12,1985-12-10,39.7,NA,NA,,999,999,999,999,999.0,1011
Dion Lewis,788,RB,FA,11,1990-09-27,34.9,NA,NA,,999,999,999,999,999.0,1012
Anthony Brown,8241,QB,FA,3,1998-07-27,27.1,4035312,anthony brown,,999,999,999,999,999.0,1013
Drew Lock,5854,QB,SEA,6,1996-11-10,28.8,3924327,drew lock,8,999,999,999,999,999.0,1014
Rasheed Williams,2936,RB,FA,0,,,NA,NA,,999,999,999,999,999.0,1015
Paul Perkins,3211,RB,FA,6,1994-11-16,30.8,NA,NA,,999,999,999,999,999.0,1016
Taryn Christion,6489,QB,FA,3,,,NA,NA,,999,999,999,999,999.0,1017
Darius Clark,7614,RB,FA,1,1996-07-06,29.2,NA,NA,,999,999,999,999,999.0,1018
Blayne Taylor,12832,WR,FA,0,2002-03-30,23.4,NA,NA,,999,999,999,999,999.0,1019
Mac Dalena,12809,WR,FA,0,,,NA,NA,,999,999,999,999,999.0,1020
Javon Leake,6966,RB,FA,2,1998-08-01,27.1,NA,NA,,999,999,999,999,999.0,1021
Easton Dean,12354,TE,FA,1,2004-12-01,20.8,NA,NA,,999,999,999,999,999.0,1022
Devin Gardner,3021,WR,FA,10,1991-12-14,33.7,NA,NA,,999,999,999,999,999.0,1023
Alex Bayer,2225,TE,FA,2,1990-11-08,34.8,NA,NA,,999,999,999,999,999.0,1024
Travis Wilson,4031,TE,FA,5,1993-12-14,31.7,NA,NA,,999,999,999,999,999.0,1025
Connor Shaw,1910,QB,FA,8,1991-09-19,34.0,NA,NA,,999,999,999,999,999.0,1026
Ray Rice,16,RB,FA,6,1987-01-22,38.6,NA,NA,,999,999,999,999,999.0,1027
Anthony Fasano,51,TE,FA,14,1984-04-20,41.4,NA,NA,,999,999,999,999,999.0,1028
Tyler Simmons,7274,WR,FA,2,1997-12-30,27.7,NA,NA,,999,999,999,999,999.0,1029
Dorren Miller,5359,WR,FA,4,1994-08-03,31.1,NA,NA,,999,999,999,999,999.0,1030
Ryan Taylor,934,TE,FA,5,1987-11-16,37.8,NA,NA,,999,999,999,999,999.0,1031
Darius Powe,3768,WR,FA,6,1994-03-15,31.5,NA,NA,,999,999,999,999,999.0,1032
Hunter Sharp,3517,WR,FA,6,1994-04-25,31.4,NA,NA,,999,999,999,999,999.0,1033
Alex McNulty,12180,K,FA,1,,,NA,NA,,999,999,999,999,999.0,1034
Chris King,3609,WR,FA,9,1993-12-13,31.7,NA,NA,,999,999,999,999,999.0,1035
Jeremy Stewart,1293,RB,FA,4,1989-02-17,36.5,NA,NA,,999,999,999,999,999.0,1036
Damon Gibson,5258,WR,FA,0,,,NA,NA,,999,999,999,999,999.0,1037
Justin Crawford,5398,RB,FA,4,1995-02-19,30.5,NA,NA,,999,999,999,999,999.0,1038
Xazavian Valladay,10861,RB,MIN,2,1998-07-03,27.2,4240350,xazavian valladay,6,999,999,999,999,999.0,1039
De'Quan Hampton,4814,WR,FA,5,1994-04-18,31.4,NA,NA,,999,999,999,999,999.0,1040
Parker Houston,7397,TE,FA,2,1997-12-06,27.7,NA,NA,,999,999,999,999,999.0,1041
Ronald Jones,5052,RB,FA,5,1997-08-03,28.1,NA,NA,,999,999,999,999,999.0,1042
Chad Williams,4128,WR,FA,5,1994-10-19,30.9,NA,NA,,999,999,999,999,999.0,1043
